griglia,anno,rendimento_%,n_trade,win_rate_%
close_buy_sell_limits,2021,195.3,12,66.7
close_buy_sell_limits,2022,4.8,13,61.5
close_buy_sell_limits,2023,19.6,11,81.8
close_buy_sell_limits,2024,111.1,12,83.3
close_buy_sell_limits,2025,15.8,11,63.6
close_buy_sell_limits,2026,-20.8,5,40.0
close_atr,2021,203.2,13,76.9
close_atr,2022,5.5,13,61.5
close_atr,2023,11.2,10,80.0
close_atr,2024,100.3,12,83.3
close_atr,2025,17.5,11,72.7
close_atr,2026,-24.3,5,40.0
atr_bands,2021,567.3,80,78.8
atr_bands,2022,-36.2,70,61.4
atr_bands,2023,65.8,83,74.7
atr_bands,2024,139.6,86,76.7
atr_bands,2025,24.6,76,69.7
atr_bands,2026,-21.5,47,63.8
supertrend,2021,721.2,10,70.0
supertrend,2022,9.2,4,50.0
supertrend,2023,10.1,8,50.0
supertrend,2024,13.6,8,37.5
supertrend,2025,50.2,7,71.4
supertrend,2026,-16.9,4,25.0
tp_sl_atr,2021,238.6,21,71.4
tp_sl_atr,2022,50.6,14,71.4
tp_sl_atr,2023,27.4,20,55.0
tp_sl_atr,2024,48.5,19,68.4
tp_sl_atr,2025,26.6,15,66.7
tp_sl_atr,2026,4.5,9,55.6
close_bullish_ema,2021,163.5,9,77.8
close_bullish_ema,2022,-33.9,6,50.0
close_bullish_ema,2023,-1.8,8,62.5
close_bullish_ema,2024,128.2,5,100.0
close_bullish_ema,2025,23.5,8,87.5
close_bullish_ema,2026,9.1,3,66.7
close_ema_crossover,2021,741.4,13,53.8
close_ema_crossover,2022,-27.5,16,25.0
close_ema_crossover,2023,-8.8,15,20.0
close_ema_crossover,2024,57.4,15,46.7
close_ema_crossover,2025,40.3,15,40.0
close_ema_crossover,2026,-5.6,7,42.9
trend_zones,2021,1164.3,3,100.0
trend_zones,2022,-22.9,7,14.3
trend_zones,2023,150.9,5,60.0
trend_zones,2024,1.3,4,25.0
trend_zones,2025,44.0,7,28.6
trend_zones,2026,-17.1,4,0.0
close_rsi_reverse,2021,470.7,138,29.0
close_rsi_reverse,2022,7.7,116,23.3
close_rsi_reverse,2023,12.4,130,20.8
close_rsi_reverse,2024,74.6,132,24.2
close_rsi_reverse,2025,16.7,140,24.3
close_rsi_reverse,2026,-33.6,86,22.1
green_candles,2021,276.9,83,48.2
green_candles,2022,-11.1,63,44.4
green_candles,2023,-14.5,76,34.2
green_candles,2024,63.0,88,43.2
green_candles,2025,28.2,78,44.9
green_candles,2026,-4.4,57,40.4
atr_live_trade,2021,111.5,22,63.6
atr_live_trade,2022,-32.6,22,54.5
atr_live_trade,2023,17.9,25,72.0
atr_live_trade,2024,44.7,21,66.7
atr_live_trade,2025,0.2,19,68.4
atr_live_trade,2026,-9.7,16,68.8
