griglia,anno,rendimento_%,n_trade,win_rate_%
close_buy_sell_limits,2021,52.0,10,70.0
close_buy_sell_limits,2022,-15.2,11,54.5
close_buy_sell_limits,2023,44.8,10,80.0
close_buy_sell_limits,2024,62.1,10,90.0
close_buy_sell_limits,2025,29.8,12,75.0
close_buy_sell_limits,2026,-13.1,5,60.0
close_atr,2021,10.9,8,62.5
close_atr,2022,-3.3,11,63.6
close_atr,2023,37.3,10,80.0
close_atr,2024,47.1,9,77.8
close_atr,2025,24.1,12,66.7
close_atr,2026,-13.4,5,60.0
atr_bands,2021,68.4,81,75.3
atr_bands,2022,-17.6,82,73.2
atr_bands,2023,111.1,93,77.4
atr_bands,2024,64.2,80,77.5
atr_bands,2025,43.7,91,74.7
atr_bands,2026,-17.5,48,62.5
supertrend,2021,100.3,15,46.7
supertrend,2022,2.8,14,42.9
supertrend,2023,112.3,26,57.7
supertrend,2024,43.1,24,45.8
supertrend,2025,-10.8,24,33.3
supertrend,2026,-6.7,7,28.6
tp_sl_atr,2021,49.7,25,60.0
tp_sl_atr,2022,-14.6,21,42.9
tp_sl_atr,2023,77.4,29,69.0
tp_sl_atr,2024,59.1,30,66.7
tp_sl_atr,2025,-9.7,28,50.0
tp_sl_atr,2026,4.8,7,42.9
close_bullish_ema,2021,78.5,15,93.3
close_bullish_ema,2022,-3.6,5,60.0
close_bullish_ema,2023,11.8,15,80.0
close_bullish_ema,2024,35.2,16,75.0
close_bullish_ema,2025,18.2,10,80.0
close_bullish_ema,2026,-2.1,6,50.0
close_ema_crossover,2021,49.2,14,21.4
close_ema_crossover,2022,-26.2,15,20.0
close_ema_crossover,2023,100.5,15,40.0
close_ema_crossover,2024,60.0,11,36.4
close_ema_crossover,2025,-2.2,16,31.2
close_ema_crossover,2026,6.9,8,37.5
trend_zones,2021,90.6,10,40.0
trend_zones,2022,-30.0,11,9.1
trend_zones,2023,124.5,13,38.5
trend_zones,2024,74.3,16,25.0
trend_zones,2025,9.6,15,20.0
trend_zones,2026,-15.5,14,14.3
close_rsi_reverse,2021,2.9,120,23.3
close_rsi_reverse,2022,-44.4,110,19.1
close_rsi_reverse,2023,96.6,106,21.7
close_rsi_reverse,2024,76.9,103,29.1
close_rsi_reverse,2025,-26.6,110,20.9
close_rsi_reverse,2026,-10.0,65,18.5
green_candles,2021,-21.1,84,36.9
green_candles,2022,-41.6,70,35.7
green_candles,2023,14.3,94,35.1
green_candles,2024,31.8,83,41.0
green_candles,2025,-12.5,88,37.5
green_candles,2026,-17.9,44,43.2
atr_live_trade,2021,24.3,5,40.0
atr_live_trade,2022,-6.7,10,50.0
atr_live_trade,2023,-1.0,9,55.6
atr_live_trade,2024,1.8,4,50.0
atr_live_trade,2025,-6.5,17,58.8
atr_live_trade,2026,4.4,2,100.0
