griglia,anno,rendimento_%,n_trade,win_rate_%
close_buy_sell_limits,2021,61.3,7,71.4
close_buy_sell_limits,2022,-22.1,11,36.4
close_buy_sell_limits,2023,16.3,6,66.7
close_buy_sell_limits,2024,79.5,9,88.9
close_buy_sell_limits,2025,23.5,13,46.2
close_buy_sell_limits,2026,-7.5,5,60.0
close_atr,2021,0.1,43,44.2
close_atr,2022,-16.1,40,40.0
close_atr,2023,67.7,43,65.1
close_atr,2024,57.3,34,55.9
close_atr,2025,25.9,46,45.7
close_atr,2026,-16.7,27,37.0
atr_bands,2021,145.1,36,63.9
atr_bands,2022,17.2,40,57.5
atr_bands,2023,91.1,53,75.5
atr_bands,2024,151.3,46,71.7
atr_bands,2025,51.7,51,58.8
atr_bands,2026,16.0,29,69.0
supertrend,2021,144.1,16,62.5
supertrend,2022,52.8,12,50.0
supertrend,2023,-7.0,21,38.1
supertrend,2024,11.8,16,50.0
supertrend,2025,-16.1,18,33.3
supertrend,2026,20.6,7,42.9
tp_sl_atr,2021,48.2,15,60.0
tp_sl_atr,2022,44.5,10,60.0
tp_sl_atr,2023,35.1,7,71.4
tp_sl_atr,2024,30.4,12,66.7
tp_sl_atr,2025,-8.4,13,46.2
tp_sl_atr,2026,-3.8,6,50.0
close_bullish_ema,2021,183.6,18,94.4
close_bullish_ema,2022,3.5,6,50.0
close_bullish_ema,2023,22.4,10,80.0
close_bullish_ema,2024,11.3,17,70.6
close_bullish_ema,2025,47.9,9,100.0
close_bullish_ema,2026,-9.8,4,50.0
close_ema_crossover,2021,71.9,6,50.0
close_ema_crossover,2022,-43.5,6,16.7
close_ema_crossover,2023,56.0,6,50.0
close_ema_crossover,2024,-4.5,7,28.6
close_ema_crossover,2025,54.2,4,50.0
close_ema_crossover,2026,-20.9,3,0.0
trend_zones,2021,94.5,11,45.5
trend_zones,2022,-24.6,13,15.4
trend_zones,2023,61.8,10,40.0
trend_zones,2024,32.7,12,25.0
trend_zones,2025,63.9,7,28.6
trend_zones,2026,-12.5,5,20.0
close_rsi_reverse,2021,43.0,133,28.6
close_rsi_reverse,2022,-23.5,123,26.8
close_rsi_reverse,2023,59.6,120,30.0
close_rsi_reverse,2024,45.1,137,32.8
close_rsi_reverse,2025,-17.4,129,20.2
close_rsi_reverse,2026,-13.6,84,23.8
green_candles,2021,221.5,88,54.5
green_candles,2022,-19.7,73,42.5
green_candles,2023,34.6,97,40.2
green_candles,2024,31.6,82,45.1
green_candles,2025,24.7,86,47.7
green_candles,2026,-44.5,47,21.3
atr_live_trade,2021,0.8,12,33.3
atr_live_trade,2022,-20.7,18,50.0
atr_live_trade,2023,9.7,34,67.6
atr_live_trade,2024,-1.7,21,52.4
atr_live_trade,2025,27.5,26,65.4
atr_live_trade,2026,1.7,13,61.5
