griglia,anno,rendimento_%,n_trade,win_rate_%
close_buy_sell_limits,2021,925.2,14,85.7
close_buy_sell_limits,2022,-72.2,5,40.0
close_buy_sell_limits,2023,414.9,17,64.7
close_buy_sell_limits,2024,64.1,12,66.7
close_buy_sell_limits,2025,-29.0,12,50.0
close_buy_sell_limits,2026,-24.0,8,62.5
close_atr,2021,339.7,11,81.8
close_atr,2022,-19.6,2,0.0
close_atr,2023,76.7,11,81.8
close_atr,2024,47.5,13,61.5
close_atr,2025,-2.3,4,75.0
close_atr,2026,-13.2,10,50.0
atr_bands,2021,2400.5,31,77.4
atr_bands,2022,-84.0,27,55.6
atr_bands,2023,171.2,30,66.7
atr_bands,2024,200.3,33,69.7
atr_bands,2025,16.1,35,62.9
atr_bands,2026,-20.7,19,68.4
supertrend,2021,1526.0,15,66.7
supertrend,2022,-51.8,10,20.0
supertrend,2023,822.6,15,60.0
supertrend,2024,85.8,12,50.0
supertrend,2025,-18.8,14,35.7
supertrend,2026,-22.2,5,20.0
tp_sl_atr,2021,1250.6,38,76.3
tp_sl_atr,2022,-59.0,24,41.7
tp_sl_atr,2023,339.3,36,69.4
tp_sl_atr,2024,22.7,29,55.2
tp_sl_atr,2025,75.8,27,70.4
tp_sl_atr,2026,-11.3,11,45.5
close_bullish_ema,2021,669.2,14,85.7
close_bullish_ema,2022,12.1,5,80.0
close_bullish_ema,2023,70.2,14,64.3
close_bullish_ema,2024,97.4,11,81.8
close_bullish_ema,2025,4.0,6,66.7
close_bullish_ema,2026,-18.6,4,50.0
close_ema_crossover,2021,1484.0,25,60.0
close_ema_crossover,2022,-21.1,27,33.3
close_ema_crossover,2023,410.4,23,43.5
close_ema_crossover,2024,-2.8,26,42.3
close_ema_crossover,2025,2.3,29,37.9
close_ema_crossover,2026,-49.8,19,15.8
trend_zones,2021,2292.7,11,27.3
trend_zones,2022,-45.5,12,16.7
trend_zones,2023,429.9,13,23.1
trend_zones,2024,57.8,13,38.5
trend_zones,2025,-0.8,12,25.0
trend_zones,2026,-18.6,8,0.0
close_rsi_reverse,2021,235.3,136,25.7
close_rsi_reverse,2022,-6.8,100,22.0
close_rsi_reverse,2023,256.8,95,28.4
close_rsi_reverse,2024,87.2,111,33.3
close_rsi_reverse,2025,-26.1,112,25.0
close_rsi_reverse,2026,-23.3,69,23.2
green_candles,2021,758.8,80,50.0
green_candles,2022,-52.9,88,31.8
green_candles,2023,-4.1,69,39.1
green_candles,2024,-9.2,83,38.6
green_candles,2025,2.6,82,45.1
green_candles,2026,-45.1,53,30.2
atr_live_trade,2021,63.5,18,44.4
atr_live_trade,2022,15.3,21,42.9
atr_live_trade,2023,47.7,27,63.0
atr_live_trade,2024,34.6,25,52.0
atr_live_trade,2025,45.2,18,61.1
atr_live_trade,2026,2.0,14,64.3
