griglia,anno,rendimento_%,n_trade,win_rate_%
close_buy_sell_limits,2021,79.8,15,66.7
close_buy_sell_limits,2022,52.4,20,65.0
close_buy_sell_limits,2023,-3.5,11,72.7
close_buy_sell_limits,2024,162.3,20,75.0
close_buy_sell_limits,2025,89.1,21,66.7
close_buy_sell_limits,2026,-28.4,12,33.3
close_atr,2021,147.3,15,53.3
close_atr,2022,39.8,11,72.7
close_atr,2023,90.3,13,84.6
close_atr,2024,124.9,19,68.4
close_atr,2025,-9.5,20,55.0
close_atr,2026,-23.6,9,33.3
atr_bands,2021,510.5,31,71.0
atr_bands,2022,70.1,34,73.5
atr_bands,2023,255.1,35,77.1
atr_bands,2024,81.3,29,65.5
atr_bands,2025,92.2,34,70.6
atr_bands,2026,-20.0,19,52.6
supertrend,2021,437.5,6,83.3
supertrend,2022,-17.0,4,25.0
supertrend,2023,4.7,6,50.0
supertrend,2024,153.9,9,66.7
supertrend,2025,-44.6,7,14.3
supertrend,2026,-43.2,5,20.0
tp_sl_atr,2021,280.7,17,70.6
tp_sl_atr,2022,3.5,12,58.3
tp_sl_atr,2023,-2.4,16,50.0
tp_sl_atr,2024,124.2,15,60.0
tp_sl_atr,2025,-67.1,19,36.8
tp_sl_atr,2026,-18.4,8,50.0
close_bullish_ema,2021,-23.8,10,60.0
close_bullish_ema,2022,60.4,3,100.0
close_bullish_ema,2023,-5.4,6,50.0
close_bullish_ema,2024,251.7,7,100.0
close_bullish_ema,2025,-4.0,4,50.0
close_bullish_ema,2026,-24.3,2,50.0
close_ema_crossover,2021,377.1,13,38.5
close_ema_crossover,2022,-30.5,14,21.4
close_ema_crossover,2023,74.7,13,46.2
close_ema_crossover,2024,166.9,16,18.8
close_ema_crossover,2025,-36.9,17,23.5
close_ema_crossover,2026,-29.6,10,30.0
trend_zones,2021,275.0,5,60.0
trend_zones,2022,-48.3,7,14.3
trend_zones,2023,-22.2,9,33.3
trend_zones,2024,250.2,6,33.3
trend_zones,2025,4.4,6,16.7
trend_zones,2026,-22.3,3,0.0
close_rsi_reverse,2021,230.1,132,20.5
close_rsi_reverse,2022,-37.3,134,21.6
close_rsi_reverse,2023,10.0,125,26.4
close_rsi_reverse,2024,156.6,132,20.5
close_rsi_reverse,2025,18.2,120,28.3
close_rsi_reverse,2026,-26.1,87,11.5
green_candles,2021,442.8,74,50.0
green_candles,2022,-56.9,75,29.3
green_candles,2023,68.6,71,45.1
green_candles,2024,17.1,83,36.1
green_candles,2025,48.3,76,44.7
green_candles,2026,-51.1,54,27.8
atr_live_trade,2021,139.5,23,65.2
atr_live_trade,2022,-13.0,22,59.1
atr_live_trade,2023,65.9,24,70.8
atr_live_trade,2024,73.7,22,63.6
atr_live_trade,2025,36.9,23,69.6
atr_live_trade,2026,-22.8,11,54.5
