griglia,anni,rendimento_%,anni_in_utile_%,anno_peggiore_%,anno_migliore_%,cambi_di_configurazione
close_buy_sell_limits,5,107.0,40.0,-11.3,65.2,2
close_atr,4,-25.6,25.0,-20.4,7.0,2
atr_bands,5,70.7,60.0,-17.2,84.9,3
supertrend,5,7.6,60.0,-10.6,14.0,3
tp_sl_atr,5,-30.4,40.0,-23.8,15.2,2
close_bullish_ema,1,3.0,100.0,3.0,3.0,1
close_ema_crossover,3,6.7,33.3,-18.5,48.7,2
trend_zones,3,-15.2,33.3,-14.9,1.6,2
close_rsi_reverse,5,19.9,60.0,-19.2,61.5,3
green_candles,5,-23.9,40.0,-42.1,65.7,1
atr_live_trade,4,78.9,75.0,-10.5,78.4,2
