griglia,anni,rendimento_%,anni_in_utile_%,anno_peggiore_%,anno_migliore_%,cambi_di_configurazione
close_buy_sell_limits,5,103.7,60.0,-17.2,60.1,5
close_atr,4,32.4,50.0,-27.7,83.3,2
atr_bands,5,227.9,40.0,-23.0,126.9,4
supertrend,5,-73.1,0.0,-37.2,0.0,4
tp_sl_atr,5,-62.3,20.0,-41.3,111.4,3
close_bullish_ema,1,-17.6,0.0,-17.6,-17.6,1
close_ema_crossover,3,214.6,66.7,-23.3,269.7,1
trend_zones,2,69.5,50.0,0.0,69.5,2
close_rsi_reverse,5,-7.5,20.0,-43.8,369.2,3
green_candles,5,-48.4,40.0,-51.4,48.8,1
atr_live_trade,4,6.0,50.0,-23.8,24.7,4
