griglia,anni,rendimento_%,anni_in_utile_%,anno_peggiore_%,anno_migliore_%,cambi_di_configurazione
close_buy_sell_limits,5,-64.2,40.0,-57.4,45.9,4
close_atr,5,-64.9,40.0,-66.9,25.9,4
atr_bands,5,110.4,80.0,-46.4,82.3,3
supertrend,5,-35.8,20.0,-20.6,28.1,3
tp_sl_atr,5,-32.9,20.0,-27.9,10.1,4
close_bullish_ema,5,-23.4,40.0,-46.8,47.9,3
close_ema_crossover,5,-45.5,40.0,-41.7,30.5,1
trend_zones,5,132.2,60.0,-24.6,63.9,1
close_rsi_reverse,5,-56.1,40.0,-66.4,66.5,3
green_candles,5,-1.5,60.0,-44.5,34.6,1
atr_live_trade,5,-73.1,40.0,-77.3,39.8,3
