griglia,anno,rendimento_%,n_trade,capitale,configurazione
close_buy_sell_limits,2019,83.8,20,1.838,"rsi_window=24, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=14, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, rsi_buy_limit=40, rsi_sell_limit=80, num_cond=2"
close_buy_sell_limits,2020,0.0,0,1.838,"rsi_window=24, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=14, atr_multiplier=2.5, kama_pow1=2, kama_pow2=30, rsi_buy_limit=25, rsi_sell_limit=85, num_cond=2"
close_buy_sell_limits,2021,-13.1,1,1.596,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=2.5, kama_pow1=2, kama_pow2=30, rsi_buy_limit=40, rsi_sell_limit=85, num_cond=2"
close_buy_sell_limits,2022,-50.2,7,0.795,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=2.5, kama_pow1=2, kama_pow2=30, rsi_buy_limit=40, rsi_sell_limit=85, num_cond=2"
close_buy_sell_limits,2023,136.9,9,1.882,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=2.5, kama_pow1=2, kama_pow2=30, rsi_buy_limit=40, rsi_sell_limit=85, num_cond=2"
close_buy_sell_limits,2024,81.7,4,3.42,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=2.5, kama_pow1=2, kama_pow2=30, rsi_buy_limit=40, rsi_sell_limit=85, num_cond=2"
close_buy_sell_limits,2025,36.4,4,4.664,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=2.5, kama_pow1=2, kama_pow2=30, rsi_buy_limit=40, rsi_sell_limit=85, num_cond=2"
close_buy_sell_limits,2026,0.0,0,4.664,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=2.5, kama_pow1=2, kama_pow2=30, rsi_buy_limit=40, rsi_sell_limit=85, num_cond=2"
close_atr,2019,5.8,21,1.058,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=4.0, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
close_atr,2020,256.2,5,3.77,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=14, atr_multiplier=4.0, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
close_atr,2021,32.1,1,4.978,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=14, atr_multiplier=4.0, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
close_atr,2022,23.4,9,6.142,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=14, atr_multiplier=4.0, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
close_atr,2023,31.0,9,8.044,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=14, atr_multiplier=4.0, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
close_atr,2024,31.0,4,10.533,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=14, atr_multiplier=4.0, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
close_atr,2025,2.0,8,10.746,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=14, atr_multiplier=4.0, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
close_atr,2026,-5.6,4,10.144,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=14, atr_multiplier=4.0, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
atr_bands,2019,119.4,449,2.194,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
atr_bands,2020,64.4,2,3.608,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=7, atr_multiplier=4.0, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
atr_bands,2021,112.6,486,7.669,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
atr_bands,2022,-33.7,519,5.083,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
atr_bands,2023,71.0,189,8.693,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=2.5, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
atr_bands,2024,60.4,162,13.941,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=2.5, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
atr_bands,2025,16.8,165,16.286,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=2.5, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
atr_bands,2026,-25.6,97,12.109,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=2.5, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
supertrend,2019,16.4,70,1.164,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=14, atr_multiplier=4.0, kama_pow1=2, kama_pow2=30"
supertrend,2020,37.3,84,1.599,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=14, atr_multiplier=4.0, kama_pow1=2, kama_pow2=30"
supertrend,2021,-30.2,100,1.117,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=14, atr_multiplier=4.0, kama_pow1=2, kama_pow2=30"
supertrend,2022,-34.5,107,0.731,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=20, atr_multiplier=4.0, kama_pow1=2, kama_pow2=30"
supertrend,2023,41.4,135,1.034,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=20, atr_multiplier=4.0, kama_pow1=2, kama_pow2=30"
supertrend,2024,7.2,128,1.108,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=20, atr_multiplier=4.0, kama_pow1=2, kama_pow2=30"
supertrend,2025,-37.1,130,0.698,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=20, atr_multiplier=4.0, kama_pow1=2, kama_pow2=30"
supertrend,2026,-19.6,81,0.561,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=20, atr_multiplier=4.0, kama_pow1=2, kama_pow2=30"
tp_sl_atr,2019,-11.6,137,0.884,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=30, atr_multiplier=3.0, kama_pow1=2, kama_pow2=30"
tp_sl_atr,2020,91.0,162,1.688,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=30, atr_multiplier=3.0, kama_pow1=2, kama_pow2=30"
