griglia,anno,rendimento_%,n_trade,capitale,configurazione
close_buy_sell_limits,2022,-2.7,9,0.973,"rsi_window=7, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=14, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, rsi_buy_limit=30, rsi_sell_limit=65, num_cond=1"
close_buy_sell_limits,2023,-11.3,6,0.863,"rsi_window=7, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=14, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, rsi_buy_limit=30, rsi_sell_limit=65, num_cond=1"
close_buy_sell_limits,2024,65.2,3,1.425,"rsi_window=7, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=2.5, kama_pow1=2, kama_pow2=30, rsi_buy_limit=35, rsi_sell_limit=85, num_cond=1"
close_buy_sell_limits,2025,45.3,2,2.07,"rsi_window=7, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=2.5, kama_pow1=2, kama_pow2=30, rsi_buy_limit=35, rsi_sell_limit=85, num_cond=1"
close_buy_sell_limits,2026,0.0,0,2.07,"rsi_window=7, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=2.5, kama_pow1=2, kama_pow2=30, rsi_buy_limit=35, rsi_sell_limit=85, num_cond=1"
close_atr,2023,-4.1,4,0.959,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=7, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, stop_loss=2.0"
close_atr,2024,-8.9,2,0.874,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=7, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, stop_loss=2.0"
close_atr,2025,7.0,2,0.935,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=7, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, stop_loss=2.0"
close_atr,2026,-20.4,4,0.744,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=10, atr_multiplier=0.8, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
atr_bands,2022,18.2,11,1.182,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=14, atr_multiplier=0.8, kama_pow1=2, kama_pow2=30, stop_loss=5.0"
atr_bands,2023,84.9,18,2.186,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=14, atr_multiplier=0.8, kama_pow1=2, kama_pow2=30, stop_loss=5.0"
atr_bands,2024,7.5,15,2.35,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=14, atr_multiplier=0.8, kama_pow1=2, kama_pow2=30, stop_loss=5.0"
atr_bands,2025,-12.2,8,2.062,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=0.8, kama_pow1=2, kama_pow2=30, stop_loss=5.0"
atr_bands,2026,-17.2,7,1.707,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=14, atr_multiplier=0.8, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
supertrend,2022,14.0,7,1.14,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=20, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=0.8, kama_pow1=2, kama_pow2=30"
supertrend,2023,5.3,6,1.2,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=20, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=0.8, kama_pow1=2, kama_pow2=30"
supertrend,2024,-8.8,6,1.094,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=20, ema_window2=50, ema_window3=200, atr_window=10, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
supertrend,2025,10.1,7,1.204,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=20, ema_window2=50, ema_window3=200, atr_window=7, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
supertrend,2026,-10.6,3,1.076,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=20, ema_window2=50, ema_window3=200, atr_window=7, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
tp_sl_atr,2022,15.2,3,1.152,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=20, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
tp_sl_atr,2023,5.4,5,1.214,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=20, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
tp_sl_atr,2024,-9.7,10,1.096,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=20, ema_window2=50, ema_window3=200, atr_window=20, atr_multiplier=1.2, kama_pow1=2, kama_pow2=30"
tp_sl_atr,2025,-16.7,10,0.914,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=20, ema_window2=50, ema_window3=200, atr_window=20, atr_multiplier=1.2, kama_pow1=2, kama_pow2=30"
tp_sl_atr,2026,-23.8,4,0.696,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=20, ema_window2=50, ema_window3=200, atr_window=20, atr_multiplier=1.2, kama_pow1=2, kama_pow2=30"
close_bullish_ema,2025,3.0,5,1.03,"rsi_window=7, rsi_window2=24, rsi_window3=36, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, rsi_buy_limit=40, rsi_sell_limit=60, ema_triplet=9/21/55"
close_ema_crossover,2024,-12.0,6,0.88,"rsi_window=12, rsi_window2=24, rsi_window3=36, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, ema_triplet=8/13/21"
close_ema_crossover,2025,48.7,1,1.308,"rsi_window=12, rsi_window2=24, rsi_window3=36, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, ema_triplet=9/21/55"
close_ema_crossover,2026,-18.5,2,1.067,"rsi_window=12, rsi_window2=24, rsi_window3=36, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, ema_triplet=9/21/55"
trend_zones,2024,1.6,2,1.016,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=5, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
trend_zones,2025,-1.9,5,0.997,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
trend_zones,2026,-14.9,1,0.848,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
close_rsi_reverse,2022,-19.2,34,0.808,"rsi_window=12, rsi_window2=14, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
close_rsi_reverse,2023,6.9,25,0.864,"rsi_window=12, rsi_window2=21, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
close_rsi_reverse,2024,61.5,26,1.395,"rsi_window=12, rsi_window2=14, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
close_rsi_reverse,2025,2.1,30,1.425,"rsi_window=12, rsi_window2=14, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
close_rsi_reverse,2026,-15.8,19,1.199,"rsi_window=7, rsi_window2=21, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
green_candles,2022,-42.1,12,0.579,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
green_candles,2023,-0.4,12,0.577,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
green_candles,2024,65.7,18,0.956,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
green_candles,2025,-23.0,13,0.736,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
green_candles,2026,3.5,7,0.761,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
atr_live_trade,2023,3.5,6,1.035,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=10, atr_multiplier=1.2, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
atr_live_trade,2024,78.4,8,1.847,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=10, atr_multiplier=1.2, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
atr_live_trade,2025,-10.5,2,1.653,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=14, atr_multiplier=1.2, kama_pow1=2, kama_pow2=30, stop_loss=5.0"
atr_live_trade,2026,8.3,2,1.789,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=14, atr_multiplier=1.2, kama_pow1=2, kama_pow2=30, stop_loss=5.0"
