griglia,anno,rendimento_%,n_trade,capitale,configurazione
close_buy_sell_limits,2022,-22.5,14,0.775,"rsi_window=7, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, rsi_buy_limit=30, rsi_sell_limit=60, num_cond=1"
close_buy_sell_limits,2023,40.2,5,1.087,"rsi_window=7, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, rsi_buy_limit=35, rsi_sell_limit=80, num_cond=1"
close_buy_sell_limits,2024,59.3,3,1.731,"rsi_window=7, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, rsi_buy_limit=30, rsi_sell_limit=75, num_cond=2"
close_buy_sell_limits,2025,-7.8,3,1.595,"rsi_window=7, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, rsi_buy_limit=30, rsi_sell_limit=75, num_cond=2"
close_buy_sell_limits,2026,-11.4,2,1.414,"rsi_window=7, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, rsi_buy_limit=30, rsi_sell_limit=75, num_cond=2"
close_atr,2023,-5.6,3,0.944,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=20, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=0.8, kama_pow1=2, kama_pow2=30, stop_loss=5.0"
close_atr,2024,50.8,3,1.424,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
close_atr,2025,-9.3,3,1.291,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
close_atr,2026,-14.2,2,1.108,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
atr_bands,2022,-21.2,13,0.788,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=0.8, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
atr_bands,2023,53.7,6,1.212,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
atr_bands,2024,69.0,3,2.048,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=2.0, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
atr_bands,2025,-1.5,3,2.018,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=2.0, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
atr_bands,2026,-16.1,2,1.692,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=2.0, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
supertrend,2022,-15.9,2,0.841,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=14, atr_multiplier=0.8, kama_pow1=2, kama_pow2=30"
supertrend,2023,0.0,0,0.841,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=14, atr_multiplier=0.8, kama_pow1=2, kama_pow2=30"
supertrend,2024,-11.2,5,0.746,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=20, ema_window2=50, ema_window3=200, atr_window=14, atr_multiplier=2.0, kama_pow1=2, kama_pow2=30"
