griglia,anno,rendimento_%,n_trade,capitale,configurazione
close_buy_sell_limits,2022,-0.0,10,1.0,"rsi_window=7, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=14, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, rsi_buy_limit=25, rsi_sell_limit=60, num_cond=1"
close_buy_sell_limits,2023,56.9,4,1.569,"rsi_window=7, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=14, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, rsi_buy_limit=25, rsi_sell_limit=75, num_cond=1"
close_buy_sell_limits,2024,7.5,2,1.687,"rsi_window=7, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, rsi_buy_limit=25, rsi_sell_limit=75, num_cond=2"
close_buy_sell_limits,2025,-24.0,4,1.281,"rsi_window=7, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, rsi_buy_limit=25, rsi_sell_limit=75, num_cond=2"
close_buy_sell_limits,2026,-8.5,1,1.172,"rsi_window=7, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, rsi_buy_limit=25, rsi_sell_limit=75, num_cond=2"
close_atr,2023,67.9,4,1.679,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, stop_loss=10.0"
close_atr,2024,13.3,2,1.903,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=30, atr_multiplier=2.5, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
close_atr,2025,-61.8,2,0.728,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=30, atr_multiplier=2.5, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
close_atr,2026,21.0,3,0.881,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=10, atr_multiplier=2.0, kama_pow1=2, kama_pow2=30, stop_loss=10.0"
atr_bands,2022,-37.9,11,0.621,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=14, atr_multiplier=0.8, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
atr_bands,2023,60.8,5,0.999,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=2.5, kama_pow1=2, kama_pow2=30, stop_loss=5.0"
atr_bands,2024,-5.1,1,0.948,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=2.5, kama_pow1=2, kama_pow2=30, stop_loss=5.0"
atr_bands,2025,-5.1,1,0.899,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=2.5, kama_pow1=2, kama_pow2=30, stop_loss=5.0"
atr_bands,2026,-9.9,2,0.81,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=2.5, kama_pow1=2, kama_pow2=30, stop_loss=5.0"
supertrend,2022,-40.2,10,0.598,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=20, atr_multiplier=0.8, kama_pow1=2, kama_pow2=30"
supertrend,2023,0.0,0,0.598,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=20, ema_window2=50, ema_window3=200, atr_window=14, atr_multiplier=0.8, kama_pow1=2, kama_pow2=30"
supertrend,2024,0.0,0,0.598,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=20, ema_window2=50, ema_window3=200, atr_window=14, atr_multiplier=0.8, kama_pow1=2, kama_pow2=30"
supertrend,2025,81.4,4,1.085,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=30, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
supertrend,2026,0.0,0,1.085,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=30, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
tp_sl_atr,2022,-44.5,7,0.555,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.2, kama_pow1=2, kama_pow2=30"
tp_sl_atr,2023,13.2,1,0.628,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=20, ema_window2=50, ema_window3=200, atr_window=7, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
