griglia,anno,rendimento_%,n_trade,capitale,configurazione
close_buy_sell_limits,2022,-17.2,8,0.828,"rsi_window=7, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, rsi_buy_limit=35, rsi_sell_limit=60, num_cond=1"
close_buy_sell_limits,2023,49.6,9,1.239,"rsi_window=7, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=14, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, rsi_buy_limit=40, rsi_sell_limit=60, num_cond=1"
close_buy_sell_limits,2024,60.1,2,1.983,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=2.5, kama_pow1=2, kama_pow2=30, rsi_buy_limit=40, rsi_sell_limit=85, num_cond=1"
close_buy_sell_limits,2025,2.8,3,2.037,"rsi_window=7, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, rsi_buy_limit=35, rsi_sell_limit=75, num_cond=2"
close_buy_sell_limits,2026,0.0,0,2.037,"rsi_window=7, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, rsi_buy_limit=30, rsi_sell_limit=80, num_cond=2"
close_atr,2023,26.9,2,1.269,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=20, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, stop_loss=10.0"
close_atr,2024,83.3,4,2.325,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=2.0, kama_pow1=2, kama_pow2=30, stop_loss=10.0"
close_atr,2025,-27.7,4,1.681,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=2.0, kama_pow1=2, kama_pow2=30, stop_loss=10.0"
close_atr,2026,-21.2,2,1.324,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=2.0, kama_pow1=2, kama_pow2=30, stop_loss=10.0"
atr_bands,2022,-23.0,7,0.77,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=10, atr_multiplier=0.8, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
atr_bands,2023,100.0,6,1.539,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
atr_bands,2024,126.9,6,3.492,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=7, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
atr_bands,2025,-0.9,4,3.462,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=7, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
atr_bands,2026,-5.3,7,3.279,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.2, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
supertrend,2022,-29.9,7,0.701,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=20, atr_multiplier=0.8, kama_pow1=2, kama_pow2=30"
supertrend,2023,-37.2,4,0.441,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=14, atr_multiplier=1.2, kama_pow1=2, kama_pow2=30"
supertrend,2024,-24.3,2,0.333,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
supertrend,2025,0.0,0,0.333,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=14, atr_multiplier=2.0, kama_pow1=2, kama_pow2=30"
supertrend,2026,-19.4,1,0.269,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=14, atr_multiplier=2.0, kama_pow1=2, kama_pow2=30"
tp_sl_atr,2022,-38.5,3,0.615,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=30, atr_multiplier=1.2, kama_pow1=2, kama_pow2=30"
tp_sl_atr,2023,-41.3,9,0.361,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=30, atr_multiplier=1.2, kama_pow1=2, kama_pow2=30"
tp_sl_atr,2024,111.4,2,0.763,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
tp_sl_atr,2025,-36.8,1,0.482,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=20, atr_multiplier=2.5, kama_pow1=2, kama_pow2=30"
tp_sl_atr,2026,-21.9,1,0.377,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=20, atr_multiplier=2.5, kama_pow1=2, kama_pow2=30"
close_bullish_ema,2025,-17.6,2,0.824,"rsi_window=24, rsi_window2=24, rsi_window3=36, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, rsi_buy_limit=40, rsi_sell_limit=60, ema_triplet=20/50/100"
close_ema_crossover,2024,269.7,5,3.697,"rsi_window=12, rsi_window2=24, rsi_window3=36, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, ema_triplet=8/13/21"
close_ema_crossover,2025,10.9,3,4.099,"rsi_window=12, rsi_window2=24, rsi_window3=36, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, ema_triplet=8/13/21"
close_ema_crossover,2026,-23.3,2,3.146,"rsi_window=12, rsi_window2=24, rsi_window3=36, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, ema_triplet=8/13/21"
trend_zones,2024,69.5,5,1.695,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=5, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
trend_zones,2025,0.0,0,1.695,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
close_rsi_reverse,2022,-35.9,28,0.641,"rsi_window=14, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
close_rsi_reverse,2023,-23.0,23,0.494,"rsi_window=21, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
close_rsi_reverse,2024,369.2,17,2.316,"rsi_window=14, rsi_window2=30, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
close_rsi_reverse,2025,-43.8,29,1.302,"rsi_window=14, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
