griglia,anno,rendimento_%,n_trade,capitale,configurazione
close_buy_sell_limits,2022,0.9,11,1.009,"rsi_window=7, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=14, atr_multiplier=2.5, kama_pow1=2, kama_pow2=30, rsi_buy_limit=30, rsi_sell_limit=80, num_cond=2"
close_buy_sell_limits,2023,-7.5,7,0.933,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=2.5, kama_pow1=2, kama_pow2=30, rsi_buy_limit=35, rsi_sell_limit=70, num_cond=2"
close_buy_sell_limits,2024,-6.3,3,0.874,"rsi_window=7, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=2.5, kama_pow1=2, kama_pow2=30, rsi_buy_limit=15, rsi_sell_limit=80, num_cond=2"
close_buy_sell_limits,2025,7.4,9,0.939,"rsi_window=7, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=14, atr_multiplier=2.5, kama_pow1=2, kama_pow2=30, rsi_buy_limit=30, rsi_sell_limit=80, num_cond=2"
close_buy_sell_limits,2026,0.0,0,0.939,"rsi_window=24, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, rsi_buy_limit=40, rsi_sell_limit=75, num_cond=2"
close_atr,2022,-36.5,8,0.635,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=20, ema_window2=50, ema_window3=200, atr_window=30, atr_multiplier=2.5, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
close_atr,2023,11.2,10,0.706,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=20, atr_multiplier=2.5, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
close_atr,2024,100.3,12,1.415,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=20, atr_multiplier=2.5, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
close_atr,2025,6.6,10,1.508,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=10, atr_multiplier=2.5, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
close_atr,2026,-24.3,5,1.142,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=20, atr_multiplier=2.5, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
atr_bands,2022,-40.1,69,0.599,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=30, atr_multiplier=0.8, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
atr_bands,2023,18.6,4,0.71,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=4.0, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
atr_bands,2024,37.4,4,0.976,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=4.0, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
atr_bands,2025,24.6,76,1.216,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=20, atr_multiplier=0.8, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
atr_bands,2026,-21.5,47,0.954,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=20, atr_multiplier=0.8, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
supertrend,2022,9.2,4,1.092,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=30, atr_multiplier=4.0, kama_pow1=2, kama_pow2=30"
supertrend,2023,10.1,8,1.201,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=30, atr_multiplier=4.0, kama_pow1=2, kama_pow2=30"
supertrend,2024,13.6,8,1.365,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=30, atr_multiplier=4.0, kama_pow1=2, kama_pow2=30"
supertrend,2025,50.2,7,2.051,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=30, atr_multiplier=4.0, kama_pow1=2, kama_pow2=30"
supertrend,2026,-16.9,4,1.704,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=30, atr_multiplier=4.0, kama_pow1=2, kama_pow2=30"
tp_sl_atr,2022,-25.9,35,0.741,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=20, ema_window2=50, ema_window3=200, atr_window=20, atr_multiplier=1.2, kama_pow1=2, kama_pow2=30"
tp_sl_atr,2023,2.2,20,0.757,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=10, atr_multiplier=2.0, kama_pow1=2, kama_pow2=30"
tp_sl_atr,2024,21.6,22,0.92,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=10, atr_multiplier=2.0, kama_pow1=2, kama_pow2=30"
tp_sl_atr,2025,31.7,24,1.211,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=10, atr_multiplier=2.0, kama_pow1=2, kama_pow2=30"
tp_sl_atr,2026,-15.9,12,1.019,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=10, atr_multiplier=2.0, kama_pow1=2, kama_pow2=30"
close_bullish_ema,2022,-37.0,7,0.63,"rsi_window=12, rsi_window2=24, rsi_window3=36, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, rsi_buy_limit=40, rsi_sell_limit=75, ema_triplet=8/13/21"
close_bullish_ema,2023,23.0,8,0.774,"rsi_window=12, rsi_window2=24, rsi_window3=36, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, rsi_buy_limit=40, rsi_sell_limit=75, ema_triplet=12/26/50"
close_bullish_ema,2024,44.9,14,1.122,"rsi_window=12, rsi_window2=24, rsi_window3=36, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, rsi_buy_limit=40, rsi_sell_limit=75, ema_triplet=12/26/50"
close_bullish_ema,2025,-5.1,4,1.065,"rsi_window=24, rsi_window2=24, rsi_window3=36, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, rsi_buy_limit=40, rsi_sell_limit=75, ema_triplet=8/13/21"
close_bullish_ema,2026,1.7,2,1.083,"rsi_window=7, rsi_window2=24, rsi_window3=36, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, rsi_buy_limit=40, rsi_sell_limit=75, ema_triplet=50/100/200"
close_ema_crossover,2022,-29.7,15,0.703,"rsi_window=12, rsi_window2=24, rsi_window3=36, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, ema_triplet=5/20/60"
close_ema_crossover,2023,-27.1,15,0.513,"rsi_window=12, rsi_window2=24, rsi_window3=36, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, ema_triplet=5/20/60"
close_ema_crossover,2024,54.1,16,0.79,"rsi_window=12, rsi_window2=24, rsi_window3=36, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, ema_triplet=5/20/60"
close_ema_crossover,2025,16.2,20,0.918,"rsi_window=12, rsi_window2=24, rsi_window3=36, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, ema_triplet=8/13/21"
close_ema_crossover,2026,-18.1,10,0.752,"rsi_window=12, rsi_window2=24, rsi_window3=36, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, ema_triplet=5/20/60"
trend_zones,2022,-27.3,17,0.727,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=5, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
trend_zones,2023,26.7,9,0.92,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=20, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
trend_zones,2024,1.3,4,0.932,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
trend_zones,2025,22.7,11,1.144,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=20, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
