griglia,anno,rendimento_%,n_trade,capitale,configurazione
close_buy_sell_limits,2022,-35.5,16,0.645,"rsi_window=7, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=2.5, kama_pow1=2, kama_pow2=30, rsi_buy_limit=15, rsi_sell_limit=75, num_cond=1"
close_buy_sell_limits,2023,44.8,10,0.934,"rsi_window=7, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=2.5, kama_pow1=2, kama_pow2=30, rsi_buy_limit=25, rsi_sell_limit=80, num_cond=2"
close_buy_sell_limits,2024,50.1,7,1.401,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=2.5, kama_pow1=2, kama_pow2=30, rsi_buy_limit=25, rsi_sell_limit=80, num_cond=1"
close_buy_sell_limits,2025,-5.3,6,1.327,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=2.5, kama_pow1=2, kama_pow2=30, rsi_buy_limit=25, rsi_sell_limit=80, num_cond=1"
close_buy_sell_limits,2026,-13.1,5,1.154,"rsi_window=7, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=2.5, kama_pow1=2, kama_pow2=30, rsi_buy_limit=25, rsi_sell_limit=80, num_cond=2"
close_atr,2022,-9.5,7,0.905,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=10, atr_multiplier=2.5, kama_pow1=2, kama_pow2=30, stop_loss=10.0"
close_atr,2023,11.3,6,1.007,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=3.0, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
close_atr,2024,14.0,4,1.148,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=7, atr_multiplier=4.0, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
close_atr,2025,5.4,5,1.21,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=7, atr_multiplier=4.0, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
close_atr,2026,-17.3,2,1.002,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=7, atr_multiplier=4.0, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
