griglia,anno,rendimento_%,n_trade,capitale,configurazione
close_buy_sell_limits,2022,-57.4,29,0.426,"rsi_window=7, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=14, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, rsi_buy_limit=35, rsi_sell_limit=85, num_cond=1"
close_buy_sell_limits,2023,45.9,21,0.621,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=14, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, rsi_buy_limit=35, rsi_sell_limit=70, num_cond=1"
close_buy_sell_limits,2024,-49.5,3,0.313,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=14, atr_multiplier=2.5, kama_pow1=2, kama_pow2=30, rsi_buy_limit=35, rsi_sell_limit=85, num_cond=2"
close_buy_sell_limits,2025,23.5,13,0.387,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=14, atr_multiplier=2.5, kama_pow1=2, kama_pow2=30, rsi_buy_limit=15, rsi_sell_limit=65, num_cond=1"
close_buy_sell_limits,2026,-7.5,5,0.358,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=14, atr_multiplier=2.5, kama_pow1=2, kama_pow2=30, rsi_buy_limit=15, rsi_sell_limit=65, num_cond=1"
close_atr,2022,-66.9,21,0.331,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=20, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
close_atr,2023,2.9,5,0.341,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=20, ema_window2=50, ema_window3=200, atr_window=7, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, stop_loss=2.0"
close_atr,2024,-1.7,5,0.335,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=20, ema_window2=50, ema_window3=200, atr_window=20, atr_multiplier=2.0, kama_pow1=2, kama_pow2=30, stop_loss=10.0"
close_atr,2025,25.9,46,0.422,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=7, atr_multiplier=0.8, kama_pow1=2, kama_pow2=30, stop_loss=2.0"
close_atr,2026,-16.7,27,0.351,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=7, atr_multiplier=0.8, kama_pow1=2, kama_pow2=30, stop_loss=2.0"
atr_bands,2022,-46.4,35,0.536,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=20, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
atr_bands,2023,82.3,33,0.977,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
atr_bands,2024,22.3,29,1.196,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
atr_bands,2025,51.7,51,1.814,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=30, atr_multiplier=1.2, kama_pow1=2, kama_pow2=30, stop_loss=5.0"
atr_bands,2026,16.0,29,2.104,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=30, atr_multiplier=1.2, kama_pow1=2, kama_pow2=30, stop_loss=5.0"
supertrend,2022,28.1,10,1.281,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=7, atr_multiplier=2.0, kama_pow1=2, kama_pow2=30"
supertrend,2023,-20.6,18,1.017,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=7, atr_multiplier=2.0, kama_pow1=2, kama_pow2=30"
supertrend,2024,-5.7,5,0.959,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=14, atr_multiplier=2.5, kama_pow1=2, kama_pow2=30"
supertrend,2025,-16.1,18,0.804,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=14, atr_multiplier=2.0, kama_pow1=2, kama_pow2=30"
supertrend,2026,-20.2,2,0.642,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=14, atr_multiplier=2.5, kama_pow1=2, kama_pow2=30"
tp_sl_atr,2022,-27.9,44,0.721,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=14, atr_multiplier=0.8, kama_pow1=2, kama_pow2=30"
tp_sl_atr,2023,-3.9,16,0.693,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=14, atr_multiplier=2.5, kama_pow1=2, kama_pow2=30"
tp_sl_atr,2024,10.1,12,0.762,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=20, atr_multiplier=3.0, kama_pow1=2, kama_pow2=30"
tp_sl_atr,2025,-8.4,13,0.698,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=14, atr_multiplier=3.0, kama_pow1=2, kama_pow2=30"
tp_sl_atr,2026,-3.8,6,0.671,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=14, atr_multiplier=3.0, kama_pow1=2, kama_pow2=30"
close_bullish_ema,2022,-46.8,6,0.532,"rsi_window=12, rsi_window2=24, rsi_window3=36, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, rsi_buy_limit=40, rsi_sell_limit=70, ema_triplet=8/13/21"
close_bullish_ema,2023,38.6,9,0.738,"rsi_window=24, rsi_window2=24, rsi_window3=36, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, rsi_buy_limit=55, rsi_sell_limit=65, ema_triplet=9/21/55"
close_bullish_ema,2024,-22.2,12,0.574,"rsi_window=24, rsi_window2=24, rsi_window3=36, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, rsi_buy_limit=55, rsi_sell_limit=65, ema_triplet=9/21/55"
