griglia,anno,rendimento_%,n_trade,capitale,configurazione
close_buy_sell_limits,2022,-37.9,41,0.621,"rsi_window=7, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=2.5, kama_pow1=2, kama_pow2=30, rsi_buy_limit=30, rsi_sell_limit=60, num_cond=1"
close_buy_sell_limits,2023,12.8,12,0.7,"rsi_window=24, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=14, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, rsi_buy_limit=40, rsi_sell_limit=70, num_cond=1"
close_buy_sell_limits,2024,44.2,43,1.01,"rsi_window=7, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=14, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, rsi_buy_limit=25, rsi_sell_limit=60, num_cond=1"
close_buy_sell_limits,2025,37.2,21,1.385,"rsi_window=24, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=14, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, rsi_buy_limit=40, rsi_sell_limit=70, num_cond=1"
close_buy_sell_limits,2026,-28.4,12,0.992,"rsi_window=24, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=14, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, rsi_buy_limit=15, rsi_sell_limit=70, num_cond=1"
close_atr,2022,24.8,12,1.248,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=20, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, stop_loss=10.0"
close_atr,2023,-11.7,3,1.102,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=3.0, kama_pow1=2, kama_pow2=30, stop_loss=10.0"
close_atr,2024,124.9,19,2.478,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=30, atr_multiplier=2.0, kama_pow1=2, kama_pow2=30, stop_loss=10.0"
close_atr,2025,19.7,3,2.967,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=7, atr_multiplier=4.0, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
close_atr,2026,-36.5,2,1.884,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=20, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=3.0, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
atr_bands,2022,53.9,32,1.539,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=7, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
atr_bands,2023,255.1,35,5.466,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
atr_bands,2024,81.3,29,9.912,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
atr_bands,2025,92.2,34,19.047,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
atr_bands,2026,-20.0,19,15.233,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
supertrend,2022,-46.9,15,0.531,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=14, atr_multiplier=2.0, kama_pow1=2, kama_pow2=30"
supertrend,2023,-29.8,7,0.373,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=20, ema_window2=50, ema_window3=200, atr_window=30, atr_multiplier=3.0, kama_pow1=2, kama_pow2=30"
supertrend,2024,56.3,22,0.582,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=14, atr_multiplier=2.0, kama_pow1=2, kama_pow2=30"
supertrend,2025,-51.7,4,0.282,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=20, ema_window2=50, ema_window3=200, atr_window=30, atr_multiplier=4.0, kama_pow1=2, kama_pow2=30"
supertrend,2026,-9.9,3,0.254,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=20, ema_window2=50, ema_window3=200, atr_window=30, atr_multiplier=4.0, kama_pow1=2, kama_pow2=30"
tp_sl_atr,2022,-58.9,17,0.411,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=10, atr_multiplier=2.0, kama_pow1=2, kama_pow2=30"
tp_sl_atr,2023,-2.4,16,0.401,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=20, ema_window2=50, ema_window3=200, atr_window=30, atr_multiplier=2.5, kama_pow1=2, kama_pow2=30"
tp_sl_atr,2024,124.2,15,0.899,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=20, ema_window2=50, ema_window3=200, atr_window=30, atr_multiplier=2.5, kama_pow1=2, kama_pow2=30"
tp_sl_atr,2025,-67.1,19,0.295,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=20, ema_window2=50, ema_window3=200, atr_window=30, atr_multiplier=2.5, kama_pow1=2, kama_pow2=30"
tp_sl_atr,2026,-50.2,5,0.147,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=30, atr_multiplier=4.0, kama_pow1=2, kama_pow2=30"
close_bullish_ema,2022,-10.5,5,0.895,"rsi_window=7, rsi_window2=24, rsi_window3=36, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, rsi_buy_limit=45, rsi_sell_limit=75, ema_triplet=12/26/50"
close_bullish_ema,2023,9.4,9,0.98,"rsi_window=7, rsi_window2=24, rsi_window3=36, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, rsi_buy_limit=50, rsi_sell_limit=80, ema_triplet=12/26/50"
close_bullish_ema,2024,61.6,5,1.583,"rsi_window=12, rsi_window2=24, rsi_window3=36, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, rsi_buy_limit=55, rsi_sell_limit=80, ema_triplet=12/26/50"
close_bullish_ema,2025,-4.0,4,1.52,"rsi_window=12, rsi_window2=24, rsi_window3=36, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, rsi_buy_limit=55, rsi_sell_limit=80, ema_triplet=8/13/21"
close_bullish_ema,2026,-24.3,2,1.151,"rsi_window=12, rsi_window2=24, rsi_window3=36, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, rsi_buy_limit=55, rsi_sell_limit=80, ema_triplet=8/13/21"
close_ema_crossover,2022,-32.0,16,0.68,"rsi_window=12, rsi_window2=24, rsi_window3=36, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, ema_triplet=9/21/55"
close_ema_crossover,2023,65.4,14,1.125,"rsi_window=12, rsi_window2=24, rsi_window3=36, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, ema_triplet=9/21/55"
close_ema_crossover,2024,166.9,16,3.002,"rsi_window=12, rsi_window2=24, rsi_window3=36, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, ema_triplet=12/26/50"
close_ema_crossover,2025,-38.4,18,1.849,"rsi_window=12, rsi_window2=24, rsi_window3=36, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, ema_triplet=9/21/55"
close_ema_crossover,2026,-36.8,11,1.168,"rsi_window=12, rsi_window2=24, rsi_window3=36, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30, ema_triplet=9/21/55"
trend_zones,2022,-31.3,16,0.687,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=5, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
trend_zones,2023,-22.2,9,0.535,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
trend_zones,2024,172.1,17,1.455,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=5, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
trend_zones,2025,4.4,6,1.519,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
trend_zones,2026,-22.3,3,1.181,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=50, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
close_rsi_reverse,2022,-47.5,228,0.525,"rsi_window=5, rsi_window2=30, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
close_rsi_reverse,2023,10.0,125,0.578,"rsi_window=21, rsi_window2=30, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
close_rsi_reverse,2024,156.6,132,1.483,"rsi_window=21, rsi_window2=30, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
close_rsi_reverse,2025,18.2,120,1.753,"rsi_window=21, rsi_window2=30, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
close_rsi_reverse,2026,-26.1,87,1.295,"rsi_window=21, rsi_window2=30, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
green_candles,2022,-56.9,75,0.431,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
green_candles,2023,68.6,71,0.727,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
green_candles,2024,17.1,83,0.852,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
green_candles,2025,48.3,76,1.263,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
green_candles,2026,-51.1,54,0.617,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.6, kama_pow1=2, kama_pow2=30"
atr_live_trade,2022,-13.0,22,0.87,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.2, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
atr_live_trade,2023,65.9,24,1.444,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.2, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
atr_live_trade,2024,73.7,22,2.507,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.2, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
atr_live_trade,2025,36.9,23,3.433,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.2, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
atr_live_trade,2026,-22.8,11,2.651,"rsi_window=12, rsi_window2=24, rsi_window3=36, ema_window=10, ema_window2=50, ema_window3=200, atr_window=5, atr_multiplier=1.2, kama_pow1=2, kama_pow2=30, stop_loss=99.0"
